iata,name,location,country
CWT,Cowra Airport,"Cowra, New South Wales",Australia
DRI,Beauregard Regional Airport,"De Ridder, Louisiana",United States
ERR,Errol Airport,"Errol, New Hampshire",United States
FTI,Fitiuta Airport,"Fiti‘uta, American Samoa",United States
GRD,Greenwood County Airport,"Greenwood, South Carolina",United States
HLI,Hollister Municipal Airport,"Hollister, California",United States
ILB,Ilha Solteira Airport,"Ilha Solteira, São Paulo",Brazil
JIK,Ikaria Airport,Ikaria,Greece
KGH,Yongai Airport,Yongai,Papua New Guinea
KSV,"Springvale Airport, Queensland","Springvale, Queensland",Australia
LGU,Logan-Cache Airport,"Logan, Utah",United States
LUX,Luxembourg Findel Airport,Findel,Luxembourg
MHX,Manihiki Island Airport,Manihiki Island,Cook Islands
MTC,Selfridge Air NATIONAL Guard Base,"Mount Clemens, Michigan",United States
NNA,Kenitra Airport,Kenitra,Morocco
OUZ,Tazadit Airport,Zouerate,Mauritania
PSC,Tri-Cities Airport,"Pasco, Washington",United States
RMK,Renmark Airport,"Renmark, South Australia",Australia
SKI,Skikda Airport,Skikda,Algeria
TAJ,Tadji Airport,Aitape,Papua New Guinea
TWD,Jefferson County International Airport,"Port Townsend, Washington",United States
VVO,Vladivostok International Airport (Knevichi Airport),Vladivostok,Russia
YBB,Kugaaruk Airport,"Kugaaruk, Nunavut",Canada
YPR,Prince Rupert Airport,"Prince Rupert, British Columbia",Canada
ZNU,Namu Airport,"Namu, British Columbia",Canada
ADG,Lenawee County Airport,"Adrian, Michigan",United States
APV,Apple Valley Airport,"Apple Valley, California",United States
BCT,Boca Raton Airport,"Boca Raton, Florida",United States
BND,Bandar Abbas International Airport,Bandar Abbas,Iran
BYX,Baniyala Airport,"Baniyala, Northern Territory",Australia
CKV,Outlaw Field,"Clarksville, Tennessee",United States
CWW,Corowa Airport,"Corowa, New South Wales",Australia
DRJ,Drietabbetje Airport,Drietabbetje,Suriname
ERS,Eros Airport,Windhoek,Namibia
FTK,Godman Army Airfield,"Fort Knox, Kentucky",United States
GRE,Greenville Airport,"Greenville, Illinois",United States
HLL,Hillside Airport,"Hillside, Western Australia",Australia
ILD,Lleida-Alguaire Airport,Lleida,Spain
JIL,Jilin Ertaizi Airport,"Jilin City, Jilin",China
KGI,Kalgoorlie-Boulder Airport,"Kalgoorlie, Western Australia",Australia
KSW,Kiryat Shmona Airport (Qiryat Shemona Airport),Kiryat Shmona (Qiryat Shemona),Israel
LGW,London Gatwick Airport,"London, England",United Kingdom
LUY,Lugo Railway Station,Lugo,Spain
MHY,Morehead Airport,Morehead,Papua New Guinea
MTE,Monte Alegre Airport,"Monte Alegre, Pará",Brazil
NNG,Nanning Wuxu International Airport,"Nanning, Guangxi",China
OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,Russia
PSE,Mercedita Airport,Ponce,Puerto Rico
RML,Ratmalana Airport,Ratmalana,Sri Lanka
SKK,Shaktoolik Airport,"Shaktoolik, Alaska",United States
TAK,Takamatsu Airport,"Takamatsu, Kagawa",Japan
TWE,Taylor Airport,"Taylor, Alaska",United States
VXC,Lichinga Airport,Lichinga,Mozambique
YBC,Baie-Comeau Airport,"Baie-Comeau, Quebec",Canada
YPS,Port Hawkesbury Airport,"Port Hawkesbury, Nova Scotia",Canada
ZNZ,Zanzibar Airport (Kisauni Airport),Zanzibar,Tanzania
ADH,Aldan Airport,Aldan,Russia
APW,Faleolo International Airport,"Apia, Upolu Island",Samoa
BCU,Bauchi Airport,Bauchi,Nigeria
BNE,Brisbane Airport,"Brisbane, Queensland",Australia
BZA,Bonanza Airport,"Bonanza, RAAN",Nicaragua
CKX,Chicken Airport,"Chicken, Alaska",United States
CXA,Caicara de Orinoco Airport,Caicara de Orinoco,Venezuela
DRK,Drake Bay Airport,Drake Bay,Costa Rica
ERT,Erdenet Airport,Erdenet,Mongolia
FTU,Tôlanaro Airport (Marillac Airport),Tôlanaro,Madagascar
GRF,Gray Army Airfield (Fort Lewis),"Tacoma, Washington",United States
HLM,Park Township Airport,"Holland, Michigan",United States
ILE,Skylark Field,"Killeen, Texas",United States
JIM,Aba Segud Airport,Jimma,Ethiopia
KGJ,Karonga Airport,Karonga,Malawi
KSX,Yasuru Airport,Yasuru,Papua New Guinea
LGX,Lugh Ganane Airport,Lugh Ganane,Somalia
LUZ,Lublin Airport,Lublin,Poland
MHZ,RAF Mildenhall,"Mildenhall, Suffolk, England",United Kingdom
MTF,Mizan Teferi Airport,Mizan Teferi,Ethiopia
